n,PrimTime,KruskalTime
100,0.00187625,0.0025985
200,0.00354567,0.00889221
300,0.00485508,0.0137698
400,0.00551117,0.0185872
500,0.00701908,0.0282153
600,0.00969171,0.0418595
700,0.0130561,0.0582877
800,0.0166826,0.079358
900,0.0207987,0.10082
1000,0.025043,0.124936
1100,0.0303458,0.153326
1200,0.0356508,0.18544
1300,0.0415922,0.218953
1400,0.0473303,0.256275
1500,0.0549831,0.298917
1600,0.0609308,0.341048
1700,0.0686866,0.387296
1800,0.0765574,0.437589
1900,0.0865067,0.492942
2000,0.0930594,0.549082
2100,0.104683,0.607826
2200,0.114721,0.678141
2300,0.129192,0.842546
2400,0.13418,0.859424
2500,0.141927,0.875154
2600,0.154928,0.958676
2700,0.16655,1.03868
2800,0.178557,1.11387
2900,0.190776,1.22435
3000,0.204747,1.29347
3100,0.219025,1.39754
3200,0.229795,1.49437
3300,0.244097,1.59631
3400,0.257048,1.6837
3500,0.271491,1.80655
3600,0.286946,1.89477
3700,0.304157,2.00642
3800,0.319254,2.14629
3900,0.336807,2.25288
4000,0.354156,2.38421
4100,0.388745,2.50899
4200,0.39091,2.66289
4300,0.414786,2.79786
4400,0.432657,2.95603
4500,0.455123,3.0927
4600,0.470369,3.21045
4700,0.499132,3.38225
4800,0.513921,3.51437
4900,0.532852,3.70994
5000,0.559918,3.85671
5100,0.581719,4.01575
5200,0.605572,4.20416
5300,0.626966,4.35484
5400,0.647634,4.53959
5500,0.678124,4.69541
5600,0.696085,4.91114
5700,0.71887,5.07231
5800,0.739203,5.29057
5900,0.770165,5.48257
6000,0.80183,5.62522
6100,0.817037,5.8533
6200,0.846546,6.05603
6300,0.882822,6.30236
6400,0.913044,6.5085
6500,0.930101,6.64696
6600,0.96069,6.93859
6700,0.992463,7.13531
6800,1.02751,7.3442
6900,1.04909,7.87108
7000,1.07858,7.83789
7100,1.10464,8.05382
7200,1.14289,8.30523
7300,1.15856,8.5233
7400,1.19836,8.80873
7500,1.22914,9.02632
7600,1.26517,9.34099
7700,1.31409,9.59209
7800,1.40682,10.0035
7900,1.4012,10.1451
8000,1.40025,10.4045
8100,1.42203,10.6845
8200,1.52183,10.9392
8300,1.52318,11.4478
8400,1.57617,11.675
8500,1.60394,12.0614
8600,1.65123,12.2699
8700,1.70173,12.5918
8800,1.71357,12.895
8900,1.75683,13.3962
9000,1.77431,13.362
9100,1.83297,13.6908
9200,1.86231,14.1154
9300,1.91458,14.1273
9400,1.92973,14.7044
9500,2.10494,16.1261
9600,2.06069,15.8126
9700,2.05866,15.5901
9800,2.09481,16.0125
9900,2.13571,16.3494
10000,2.17922,16.5861
